iter	RMSE
0	15.09683427
1	13.78671073
2	12.5980391
3	11.53979927
4	10.58579804
5	9.731272106
6	8.954630782
7	8.265656091
8	7.641232313
9	7.078634988
10	6.577812085
11	6.127776063
12	5.730957325
13	5.373457086
14	5.065693723
15	4.78820354
16	4.541656226
17	4.321409324
18	4.13132104
19	3.96626385
20	3.81921608
21	3.693000783
22	3.583234467
23	3.48847337
24	3.399833762
25	3.326358953
26	3.259402258
27	3.200901742
28	3.148307321
29	3.103938531
30	3.065197897
31	3.03022053
32	2.99884803
33	2.969719432
34	2.944377741
35	2.920767483
36	2.901874104
37	2.883684217
38	2.86745564
39	2.853225271
40	2.841500206
41	2.829274403
42	2.81923314
43	2.809840814
44	2.801818983
45	2.794143373
46	2.787094088
47	2.780643687
48	2.775057585
49	2.76990793
50	2.76494112
51	2.760588726
52	2.756549686
53	2.752411882
54	2.748041413
55	2.74477056
56	2.741512423
57	2.738113665
58	2.734654232
59	2.732341573
60	2.728615305
61	2.726246055
62	2.7241244
63	2.721164528
64	2.718539972
65	2.716295139
66	2.713918031
67	2.711832166
68	2.709562963
69	2.707557357
70	2.706393395
71	2.704815673
72	2.703313659
73	2.701470554
74	2.699551394
75	2.697335768
76	2.696447945
77	2.695259921
78	2.693699067
79	2.69192542
80	2.690949855
81	2.689769653
82	2.689037019
83	2.687668121
84	2.686889829
85	2.685140503
86	2.684227244
87	2.68284376
88	2.681853724
89	2.680853609
90	2.679218511
91	2.677962671
92	2.677339444
93	2.676339712
94	2.675648112
95	2.674944527
96	2.673478861
97	2.672626662
98	2.672004679
99	2.670955995
100	2.669953137
101	2.669027156
102	2.668135009
103	2.667068455
104	2.665847474
105	2.665103539
106	2.664489648
107	2.663609264
108	2.662456296
109	2.661666467
110	2.660901702
111	2.659885734
112	2.659062522
113	2.658161519
114	2.657343294
115	2.656643283
116	2.655944332
117	2.655478824
118	2.65471368
119	2.653864784
120	2.653078527
121	2.652583242
122	2.651969086
123	2.651151555
124	2.649975173
125	2.649277368
126	2.648611773
127	2.647643643
128	2.647276558
129	2.646898957
130	2.646196921
131	2.64549458
132	2.644938564
133	2.644219727
134	2.643698526
135	2.643056115
136	2.642396251
137	2.641945665
138	2.641060088
139	2.640601882
140	2.639923531
141	2.639354912
142	2.638875174
143	2.638357797
144	2.637972518
145	2.63738135
146	2.636894438
147	2.636404668
148	2.635804418
149	2.635475883
150	2.634923577
151	2.634067729
152	2.633502775
153	2.63262874
154	2.631820685
155	2.631219198
156	2.630947891
157	2.630412173
158	2.629949152
159	2.629482082
160	2.629063596
161	2.628527057
162	2.62806912
163	2.62737604
164	2.626872866
165	2.626271487
166	2.625831581
167	2.625400503
168	2.624931858
169	2.624361539
170	2.623745989
171	2.623009578
172	2.622484259
173	2.621983962
174	2.621416847
175	2.620965414
176	2.62029719
177	2.619865714
178	2.619554875
179	2.619154274
180	2.618720321
181	2.618131542
182	2.617535416
183	2.617051402
184	2.616555037
185	2.616244088
186	2.615602611
187	2.615107857
188	2.61460234
189	2.614267137
190	2.613777349
191	2.613210167
192	2.612740185
193	2.612192473
194	2.61180271
195	2.611464895
196	2.610980678
197	2.610534532
198	2.61011741
199	2.609652496
200	2.609334018
201	2.608938353
202	2.608627747
203	2.608106088
204	2.607783083
205	2.60740354
206	2.606952211
207	2.606602582
208	2.606136432
209	2.605816337
210	2.605343909
211	2.605036478
212	2.604637423
213	2.604359162
214	2.603923829
215	2.603429899
216	2.603000557
217	2.602730027
218	2.602503986
219	2.602199169
220	2.60189266
221	2.601529663
222	2.601107183
223	2.600674284
224	2.600297558
225	2.599942875
226	2.599596852
227	2.599285094
228	2.599066453
229	2.598822098
230	2.598526014
