iter	Passed	Remaining
0	73	73574
1	90	45050
2	126	41932
3	158	39351
4	175	34933
5	199	33084
6	218	31026
7	269	33430
8	317	34955
9	354	35067
10	381	34291
11	399	32872
12	417	31688
13	436	30741
14	458	30100
15	493	30365
16	514	29767
17	544	29680
18	575	29696
19	600	29409
20	621	28974
21	646	28731
22	670	28488
23	693	28185
24	714	27859
25	733	27480
26	767	27648
27	791	27463
28	820	27465
29	847	27402
30	940	29398
31	968	29305
32	1008	29559
33	1074	30515
34	1111	30659
35	1150	30803
36	1194	31090
37	1233	31229
38	1259	31029
39	1283	30793
40	1310	30647
41	1337	30500
42	1359	30257
43	1381	30007
44	1406	29841
45	1427	29597
46	1448	29378
47	1473	29231
48	1509	29290
49	1532	29119
50	1557	28977
51	1577	28766
52	1601	28606
53	1620	28381
54	1654	28425
55	1675	28242
56	1700	28133
57	1736	28199
58	1760	28072
59	1783	27933
60	1805	27790
61	1835	27764
62	1859	27654
63	1891	27670
64	1920	27626
65	1942	27484
66	1965	27376
67	1988	27254
68	2022	27292
69	2051	27261
70	2093	27387
71	2120	27334
72	2148	27286
73	2176	27241
74	2222	27408
75	2272	27633
76	2300	27574
77	2350	27789
78	2399	27971
79	2432	27978
80	2463	27944
81	2487	27844
82	2515	27789
83	2537	27675
84	2576	27736
85	2611	27752
86	2634	27646
87	2662	27593
88	2696	27601
89	2735	27657
90	2770	27672
91	2799	27631
92	2829	27592
93	2861	27578
94	2902	27649
95	2960	27879
96	3020	28116
97	3093	28472
98	3167	28828
99	3216	28952
100	3294	29326
101	3362	29602
102	3413	29729
103	3461	29823
104	3510	29920
105	3556	29998
106	3606	30099
107	3639	30062
108	3711	30340
109	3752	30357
110	3814	30548
111	3855	30565
112	3896	30589
113	3932	30564
114	3972	30570
115	4022	30654
116	4058	30631
117	4090	30572
118	4126	30548
119	4159	30502
120	4194	30467
121	4251	30599
122	4280	30523
123	4323	30541
124	4360	30523
125	4398	30509
126	4429	30446
127	4455	30349
128	4485	30289
129	4512	30200
130	4542	30133
131	4579	30111
132	4636	30227
133	4686	30284
134	4725	30277
135	4757	30221
136	4777	30093
137	4802	30001
138	4824	29883
139	4870	29917
140	4907	29897
141	4957	29954
142	5003	29985
143	5073	30162
144	5114	30155
145	5151	30130
146	5168	29991
147	5191	29885
148	5213	29776
149	5238	29684
150	5266	29608
151	5285	29486
152	5320	29453
153	5368	29489
154	5396	29420
155	5416	29303
156	5452	29278
157	5472	29160
158	5490	29040
159	5511	28936
160	5531	28827
161	5551	28717
162	5571	28610
163	5596	28529
164	5617	28430
165	5637	28325
166	5675	28308
167	5714	28301
168	5747	28260
169	5784	28239
170	5818	28206
171	5855	28190
172	5886	28137
173	5921	28108
174	5999	28285
175	6051	28334
176	6094	28338
177	6145	28380
178	6197	28427
179	6243	28442
180	6304	28526
181	6347	28527
182	6378	28475
183	6398	28376
184	6415	28262
185	6435	28166
186	6453	28058
187	6473	27959
188	6494	27866
189	6516	27780
190	6542	27709
191	6572	27658
192	6597	27588
193	6622	27514
194	6646	27436
195	6685	27422
196	6729	27430
197	6797	27531
198	6844	27550
199	6874	27499
200	6897	27417
201	6918	27329
202	6938	27241
203	6962	27167
204	6989	27106
205	7014	27034
206	7041	26975
207	7069	26917
208	7096	26858
209	7121	26788
210	7150	26736
211	7187	26715
212	7213	26651
213	7237	26581
214	7261	26512
215	7289	26459
216	7322	26422
217	7349	26364
218	7377	26310
219	7405	26256
220	7435	26209
221	7469	26176
222	7504	26147
223	7553	26168
224	7587	26136
225	7623	26108
226	7650	26052
227	7704	26086
228	7745	26079
229	7771	26018
230	7798	25962
231	7828	25914
232	7865	25893
233	7893	25840
234	7938	25841
235	7980	25834
236	8025	25837
237	8051	25779
238	8082	25734
239	8108	25677
240	8144	25648
241	8175	25607
242	8203	25556
243	8234	25513
