iter	Passed	Remaining
0	0	154
1	1	102
2	1	81
3	1	73
4	1	66
5	1	61
6	2	59
7	2	59
8	2	56
9	3	57
10	3	55
11	3	54
12	3	51
13	3	49
14	3	48
15	4	48
16	4	47
17	4	46
18	4	45
19	5	45
20	5	44
21	5	44
22	5	43
23	5	43
24	6	42
25	6	42
26	6	42
27	11	71
28	11	69
29	12	68
30	12	67
31	12	66
32	12	64
33	12	63
34	13	62
35	13	61
36	13	60
37	13	59
38	14	58
39	14	57
40	14	56
41	14	55
42	15	55
43	15	54
44	15	53
45	15	53
46	16	52
47	16	51
48	16	50
49	16	50
50	16	49
51	17	48
52	17	48
53	17	47
54	17	47
55	20	51
56	20	52
57	22	56
58	23	55
59	23	54
60	23	54
61	23	53
62	24	52
63	24	52
64	24	51
65	25	51
66	25	50
67	25	49
68	25	48
69	25	48
70	26	47
71	26	46
72	26	46
73	26	45
74	26	44
75	27	44
76	27	44
77	27	43
78	28	43
79	28	42
80	28	42
81	34	49
82	34	48
83	34	47
84	34	47
85	35	46
86	35	45
87	35	45
88	35	44
89	35	43
90	36	43
91	36	42
92	36	42
93	36	41
94	37	40
95	37	40
96	37	40
97	37	39
98	38	38
99	38	38
100	38	37
101	38	37
102	39	36
103	39	36
104	39	35
105	39	35
106	39	34
107	40	34
108	42	35
109	42	35
110	44	35
111	44	35
112	45	34
113	45	34
114	45	33
115	45	33
116	46	32
117	46	32
118	46	31
119	46	31
120	46	30
121	47	30
122	47	29
123	47	29
124	48	28
125	48	28
126	54	31
127	54	30
128	55	30
129	55	29
130	55	29
131	56	28
132	56	28
133	56	27
134	56	27
135	57	26
136	57	26
137	57	25
138	57	25
139	58	24
140	58	24
141	59	24
142	59	23
143	59	23
144	60	22
145	60	22
146	60	21
147	60	21
148	60	20
149	61	20
150	62	20
151	63	20
152	63	19
153	64	19
154	65	18
155	69	19
156	69	19
157	69	18
158	70	18
159	71	17
160	71	17
161	72	17
162	72	16
163	73	16
164	75	16
165	75	15
166	76	15
167	76	14
168	76	14
169	76	13
170	77	13
171	77	12
172	77	12
173	77	11
174	78	11
175	78	10
176	78	10
177	79	9
178	79	9
179	79	8
180	79	8
181	80	7
182	81	7
183	81	7
184	81	6
185	81	6
186	81	5
187	82	5
188	82	4
189	82	4
190	82	3
191	82	3
192	88	3
193	88	2
194	88	2
195	88	1
196	89	1
197	89	0
198	92	0
199	93	0
